query,label,length
c,1,1
1\'1,1,4
*|,1,2
asc,1,3
//,1,2
28%,1,3
update,1,6
"1""",1,2
desc,1,4
1%',1,3
||6,1,3
create user name identified by 'pass123',1,40
os,1,2
UE1,1,3
; begin declare @var varchar  (  8000  )   set @var  =  ' ...,1,61
?s,1,2
"1'qhfy<'"">utwq",1,14
"""^""",1,3
a',1,2
v,1,1
create user name identified by pass123 temporary tablespace temp default tablespace users;,1,90
handler,1,7
"1%""",1,3
bfilename,1,9
",s",1,2
*',1,2
1'1,1,3
^',1,2
procedure,1,9
truncate,1,8
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,121
&1c,1,3
tz_offset,1,9
delete,1,6
PRINT @@variable,1,16
\x27UNION SELECT,1,16
insert,1,6
